Distance_(pixels),Gray_Value
0,117.000
1,115.004
2,113.009
3,114.805
4,113.473
5,111.721
6,113.701
7,115.400
8,112.569
9,113.525
10,117.090
11,112.129
12,115.439
13,120.063
14,112.124
15,116.403
16,119.982
17,110.401
18,111.916
19,121.705
20,113.309
21,108.096
22,119.687
23,116.226
24,111.716
25,116.596
26,118.702
27,110.614
28,112.137
29,116.676
30,118.859
31,112.612
32,112.195
33,122.140
34,117.537
35,109.666
36,118.369
37,122.190
38,108.029
39,110.952
40,121.405
41,114.816
42,109.994
43,114.115
44,122.718
45,109.242
46,109.880
47,118.182
48,117.508
49,111.682
50,113.698
51,118.601
52,116.406
53,116.956
54,115.485
55,114.174
56,115.894
57,119.015
58,113.023
59,110.979
60,116.114
61,120.796
62,109.988
63,104.946
64,116.505
65,120.741
66,115.115
67,107.402
68,113.243
69,126.543
70,118.180
71,109.109
72,109.917
73,121.314
74,121.413
75,115.320
76,110.381
77,112.148
78,114.386
79,117.716
80,114.261
81,112.270
82,107.193
83,112.487
84,120.611
85,122.027
86,114.307
87,104.395
88,107.631
89,121.205
90,124.922
91,116.133
92,105.086
93,105.862
94,120.628
95,129.096
96,124.044
97,109.200
98,105.073
99,113.441
100,119.876
101,119.929
102,117.245
103,111.764
104,111.594
105,110.788
106,112.368
107,114.499
108,119.393
109,123.822
110,120.738
111,109.897
112,103.350
113,111.800
114,121.899
115,131.319
116,130.277
117,117.068
118,103.222
119,99.496
120,110.014
121,123.666
122,131.367
123,128.031
124,117.208
125,108.136
126,105.205
127,107.215
128,113.694
129,116.742
130,116.480
131,119.455
132,121.020
133,125.155
134,123.628
135,114.246
136,103.708
137,98.861
138,99.213
139,111.124
140,127.869
141,141.403
142,142.761
143,134.723
144,119.607
145,105.056
146,93.730
147,88.145
148,97.506
149,111.467
150,122.440
151,128.855
152,131.056
153,129.707
154,129.551
155,126.615
156,124.501
157,123.371
158,119.951
159,116.652
160,110.371
161,99.386
162,88.705
163,82.556
164,82.865
165,92.446
166,105.539
167,121.755
168,140.426
169,153.276
170,163.036
171,176.233
172,174.811
173,165.608
174,154.066
175,143.689
176,132.104
177,123.648
178,118.681
179,115.115
180,113.960
181,114.583
182,113.828
183,110.347
184,107.909
185,104.121
186,95.705
187,85.824
188,74.276
189,62.077
190,51.867
191,41.251
192,32.148
193,24.752
194,17.811
195,14.457
196,12.989
197,13.620
198,16.605
199,19.485
200,14.740
201,19.251
202,28.950
203,31.878
204,33.522
205,34.807
206,35.134
207,34.384
208,30.233
209,25.369
210,22.987
211,20.558
212,17.443
213,14.967
214,13.532
215,14.130
216,14.809
217,17.663
218,24.286
219,34.006
220,44.087
221,53.572
222,64.121
223,76.286
224,89.054
225,96.917
226,102.623
227,107.126
228,109.453
229,111.572
230,112.000
231,112.858
232,115.863
233,119.187
234,124.649
235,135.150
236,146.528
237,158.039
238,169.395
239,175.896
240,175.253
241,166.954
242,152.548
243,135.074
244,118.408
245,99.185
246,84.334
247,82.388
248,84.560
249,89.758
250,98.738
251,111.606
252,122.912
253,126.925
254,127.954
255,127.413
256,125.529
257,125.596
258,129.504
259,132.886
260,130.340
261,123.137
262,111.731
263,101.122
264,93.056
265,93.981
266,104.061
267,118.635
268,134.868
269,142.689
270,141.018
271,129.011
272,110.465
273,99.243
274,98.547
275,105.178
276,115.813
277,125.354
278,127.346
279,122.657
280,121.344
281,119.279
282,116.926
283,113.233
284,108.591
285,106.705
286,107.977
287,117.165
288,129.371
289,135.152
290,127.014
291,109.593
292,98.599
293,101.084
294,116.586
295,131.266
296,133.112
297,124.658
298,106.451
299,100.213
300,108.589
301,119.296
302,127.293
303,123.314
304,114.034
305,111.082
306,113.597
307,114.895
308,114.110
309,116.828
310,122.113
311,127.052
312,114.316
313,106.916
314,109.233
315,122.754
316,131.876
317,122.016
318,107.603
319,105.124
320,115.987
321,128.113
322,124.511
323,109.987
324,103.904
325,114.810
326,122.864
327,120.296
328,112.826
329,112.189
330,112.855
331,114.089
332,118.086
333,118.698
334,116.908
335,112.460
336,112.389
337,119.385
338,124.164
339,116.325
340,109.750
341,115.406
342,124.668
343,121.174
344,108.139
345,110.492
346,122.034
347,122.516
348,111.401
349,111.482
350,118.825
351,123.997
352,114.463
353,113.028
354,115.885
355,118.369
356,116.637
357,115.185
358,117.493
359,118.774
360,121.125
361,111.101
362,111.641
363,117.087
364,123.811
365,110.934
366,110.286
367,117.238
368,121.075
369,110.342
370,112.202
371,125.133
372,115.964
373,110.383
374,119.181
375,119.501
376,113.615
377,113.966
378,120.583
379,116.724
380,115.496
381,117.528
382,118.398
383,117.079
384,114.607
385,116.983
386,120.910
387,119.239
388,112.686
389,121.784
390,118.505
391,110.950
392,115.241
393,123.580
394,109.591
395,117.003
396,118.020
397,110.091
398,118.610
399,122.945
400,111.755
401,110.201
402,120.420
403,111.165
404,116.664
405,117.575
406,115.678
407,114.883
408,119.567
409,116.976
410,116.953
411,120.701
412,116.734
413,110.097
414,120.504
415,117.788
416,110.622
417,121.388
418,113.713
419,112.709
420,122.787
421,118.683
422,115.433
423,126.681
424,113.763
425,119.781
426,125.488
427,115.000
